KodeName;Klasse
M5-DD_1;Type
M5-DD_2;Type
M5-DM_1;Type
M5-DM_2;Type
M5-DM_3;Type
M5-DM_4;Type
M5-DM_5;Type
M5-IO_1;Type
M5-IO_2;Type
M5-S3E_1;Type
M5-S3E_2;Type
M5-S3E_3;Type
M5-S3E_4;Type
M5-S3F_1;Type
M5-S3F_2;Type
M5-S3F_3;Type
M5-S3S_1;Type
M5-S3S_2;Type
M5-S3S_3;Type
M5-S3S_4;Type
M5-VF_1;Type
M5-VF_2;Type
M6-DM_1;Type
M6-DM_2;Type
M6-KY_1;Type
M6-KY_2;Type
M6-LK_1;Type
M6-LK_2;Type
M7-S3E_1;Type
M7-S3E_2;Type
M7-S3F_1;Type
M7-S3F_2;Type
M7-SA_1;Type
M7-SA_2;Type
M7-TV_1;Type
M7-TV_2;Type
M8-IO_1;Type
M8-IO_2;Type
M8-SA_1;Type
M8-SA_2;Type
M8-TV_1;Type
M8-TV_2;Type
M9-SE_1;Type
M9-SE_2;Type
M9-SM_1;Type
M9-SM_2;Type
M9-SM_3;Type
M9-TV_1;Type
M9-TV_2;Type
M9-TV_3;Type
NA;Type
NA F;Type
NA F1;Type
NA F1-1;Type
NA F1-10;Type
NA F1-11;Type
NA F1-12;Type
NA F1-13;Type
NA F1-14;Type
NA F1-15;Type
NA F1-16;Type
NA F1-17;Type
NA F1-18;Type
NA F1-2;Type
NA F1-3;Type
NA F1-4;Type
NA F1-5;Type
NA F1-6;Type
NA F1-7;Type
NA F1-8;Type
NA F1-9;Type
NA F1-C-1;Type
NA F1-C-10;Type
NA F1-C-11;Type
NA F1-C-12;Type
NA F1-C-13;Type
NA F1-C-14;Type
NA F1-C-15;Type
NA F1-C-16;Type
NA F1-C-17;Type
NA F1-C-18;Type
NA F1-C-2;Type
NA F1-C-3;Type
NA F1-C-4;Type
NA F1-C-5;Type
NA F1-C-6;Type
NA F1-C-7;Type
NA F1-C-8;Type
NA F1-C-9;Type
NA F1-E-1;Type
NA F1-E-10;Type
NA F1-E-11;Type
NA F1-E-12;Type
NA F1-E-13;Type
NA F1-E-14;Type
NA F1-E-15;Type
NA F1-E-16;Type
NA F1-E-17;Type
NA F1-E-18;Type
NA F1-E-2;Type
NA F1-E-3;Type
NA F1-E-4;Type
NA F1-E-5;Type
NA F1-E-6;Type
NA F1-E-7;Type
NA F1-E-8;Type
NA F1-E-9;Type
NA F10;Type
NA F10-1;Type
NA F10-2;Type
NA F10-3;Type
NA F10-4;Type
NA F10-C-1;Type
NA F10-C-2;Type
NA F10-C-3;Type
NA F10-C-4;Type
NA F10-E-1;Type
NA F10-E-2;Type
NA F10-E-3;Type
NA F10-E-4;Type
NA F11;Type
NA F11-1;Type
NA F11-2;Type
NA F11-C-1;Type
NA F11-C-2;Type
NA F11-E-1;Type
NA F11-E-2;Type
NA F12;Type
NA F12-1;Type
NA F12-C-1;Type
NA F12-E-1;Type
NA F13;Type
NA F13-1;Type
NA F13-2;Type
NA F13-C-1;Type
NA F13-C-2;Type
NA F13-E-1;Type
NA F13-E-2;Type
NA F2;Type
NA F2-1;Type
NA F2-10;Type
NA F2-11;Type
NA F2-12;Type
NA F2-13;Type
NA F2-14;Type
NA F2-15;Type
NA F2-16;Type
NA F2-17;Type
NA F2-18;Type
NA F2-2;Type
NA F2-3;Type
NA F2-4;Type
NA F2-5;Type
NA F2-6;Type
