7 HTG;8 Pk;9 HT;Definisjonsgrunnlag;HTKode
M;A;01;[N] ;M-A-01
M;A;02;[N] ;M-A-02
M;A;03;[N] ;M-A-03
M;A;04;[N] ;M-A-04
M;A;05;[N] ;M-A-05
M;A;06;[N];M-A-06
M;B;01;[NS] ;M-B-01
M;B;02;[NS] ;M-B-02
M;B;03;[NS];M-B-03
M;C;01;SA_e(‒), TV_a ;M-C-01
M;C;02;SA_e(‒) ;M-C-02
M;C;03;TH_d ;M-C-03
M;C;04;SA_e(‒);M-C-04
M;C;05;GS_a ;M-C-05
M;C;06;KI_e;M-C-06
M;C;07;KI_e, JV_a;M-C-07
M;C;08;OM_b ;M-C-08
M;C;09;IT_A, IS_A;M-C-09
M;C;10;IT_A, IS_B;M-C-10
M;F;01;SA_e(‒) ;M-F-01
M;J;01;HH_b;M-J-01
M;M;01;[UK];M-M-01
M;M;02;[UK];M-M-02
L;A;01;[N] ;L-A-01
L;A;02;[N] ;L-A-02
L;A;03;[N] ;L-A-03
L;B;01;[NS] ;L-B-01
L;B;02;[NS];L-B-02
L;C;01;ST_E;L-C-01
L;C;02;ST_F;L-C-02
L;C;03;ST_G;L-C-03
L;C;04;OM_b ;L-C-04
L;C;05;IT_A;L-C-05
L;C;06;NG_b ;L-C-06
L;G;01;[K] ;L-G-01
L;J;01;HG_b ;L-J-01
L;M;01;MY_ABC;L-M-01
L;M;02;MY_D;L-M-02
L;M;03;MY_EF;L-M-03
L;M;04;[UK];L-M-04
L;M;05;[UK];L-M-05
O;A;01;[N] ;O-A-01
O;A;02;[N] ;O-A-02
O;B;01;[NS] ;O-B-01
O;C;01;KI_d;O-C-01
O;C;02;JV_a, KI_d ;O-C-02
O;C;03;ST_F;O-C-03
O;G;01;[K];O-G-01
O;M;01;[UK];O-M-01
O;M;02;[UK] ;O-M-02
T;A;01;[N] ;T-A-01
T;A;02;[N] ;T-A-02
T;A;03;[N] ;T-A-03
T;A;04;[N] ;T-A-04
T;B;01;[NS] ;T-B-01
T;C;01;SA_b, TV_ijk ;T-C-01
T;C;02;GS_a ;T-C-02
T;C;03;UK, SA_b ;T-C-03
T;C;04;[UK] SA_b, SF_b ;T-C-04
T;C;05;UK, SA_b ;T-C-05
T;C;06;NG_b, HF_c;T-C-06
T;C;07;NG_b, VI_a;T-C-07
T;C;08;SV_a ;T-C-08
T;D;01;RU_d ;T-D-01
T;D;02;PF_A, FU_b ;T-D-02
T;D;03;RU_b ;T-D-03
T;D;04;VS_b ;T-D-04
T;D;05;Nb_b ;T-D-05
T;D;06;VI_b ;T-D-06
T;E;01;SSi(‒) ;T-E-01
T;E;02;SU_b ;T-E-02
T;E;03;VF_f, TV_i(‒) ;T-E-03
T;E;04;OV_A, TV_h(‒), ;T-E-04
T;E;05;OF_b ;T-E-05
T;E;06;ST_J, TV_i(‒), SA_b ;T-E-06
T;E;07;ST_J, TV_i(‒), SA_0a ;T-E-07
T;E;08;VF_f, TV_i(‒) ;T-E-08
T;E;09;IF_b ;T-E-09
T;F;01;SS_k(‒) ;T-F-01
T;F;02;VF_a ;T-F-02
T;G;01;[K];T-G-01
T;H;01;[K] ;T-H-01
T;I;01;[K], MS_ABCDEFGH ;T-I-01
T;K;01;HA_b, HH_b, HR_ABC ;T-K-01
T;K;02;HR_ABC, HH_b, TV_k(‒), SA_b ;T-K-02
T;K;03;HR_D, HA_y, HH_b, HM_0 ;T-K-03
T;L;01;[K] ;T-L-01
T;M;01;MT_AB ;T-M-01
T;M;02;MT_CD ;T-M-02
T;M;03;MT_EFGHIJ ;T-M-03
T;M;04;MT_KL ;T-M-04
T;M;05;MT_MN ;T-M-05
T;M;06;MS_ABCIJ;T-M-06
T;N;01;HM_y;T-N-01
T;N;02;HM_c, HH_b ;T-N-02
T;N;03;HM_d, HH_c;T-N-03
T;O;01;HM_y, HH_y ;T-O-01
T;O;02;HM_c, HH_b ;T-O-02
T;O;03;HM_d, HH_c ;T-O-03
T;O;04;HM_0ab, HG_c, HH_c ;T-O-04
V;A;01;[N] ;V-A-01
V;B;01;[NS] ;V-B-01
V;C;01;VT_E;V-C-01
V;C;02;[UK], KI_d;V-C-02
V;C;03;[UK], KI_d;V-C-03
V;C;04;SV_a;V-C-04
V;C;05;PF_A ;V-C-05
V;E;01;OF_b ;V-E-01
V;F;01;VT_E;V-F-01
V;F;02;VT_ABD;V-F-02
V;G;01;K ;V-G-01
V;G;02;K ;V-G-02
V;I;01;K ;V-I-01
V;K;01;K ;V-K-01
V;K;02;K ;V-K-02
V;M;01;MV_AB;V-M-01
V;M;02;MV_CD;V-M-02
V;M;03;MV_E;V-M-03
V;M;04;MV_ABF;V-M-04
V;M;05;MV_CD;V-M-05
V;M;06;MV_E;V-M-06
V;O;01;HT_c ;V-O-01
I;A;01;[N] ;I-A-01
S;A;01;[N, HV_ABE] ;S-A-01
S;C;01;HV_BCDE, DL_z ;S-C-01
S;C;02;TH_a, DL_abcde ;S-C-02
S;C;03;TH_a, DL_z ;S-C-03
S;C;04;OM_b;S-C-04
