Hovedtype;Prosedyrekategori;Hovedtypegruppe;Hovedtypenavn;HTGKode;Kode
03;N;T;Vegkanter, plener, parker og liknende uten semi-naturlig hevdpreg;NA-T;T-N-03N
03;N;T;vegkanter, plener, parker og liknende uten semi-naturlig hevdpreg;NA-T;T-N-03N
