GTKode;forrigekode;FP;SP;Klasse
L-A-01-07;L1-7;4;4;GT
L-A-01-08;L1-8;4;4;GT
L-A-01-09;L1-9;4;4;GT
L-A-01-10;L1-10;4;4;GT
L-A-01-11;L1-11;4;4;GT
L-A-01-12;L1-12;4;4;GT
L-A-01-13;L1-13;4;4;GT
L-A-02-01;L2-1;3;4;GT
L-A-02-02;L2-2;3;4;GT
L-A-02-03;L2-3;3;4;GT
L-A-02-04;L2-4;3;4;GT
L-A-02-05;L2-5;3;4;GT
L-A-02-06;L2-6;3;4;GT
L-A-02-07;L2-7;4;3;GT
L-A-02-08;L2-8;4;3;GT
L-A-02-09;L2-9;4;4;GT
L-A-02-10;L2-10;4;3;GT
L-A-02-11;L2-11;4;3;GT
L-A-02-12;L2-12;4;3;GT
L-A-02-13;L2-13;4;3;GT
L-A-02-14;L2-14;4;4;GT
L-A-02-15;L2-15;3;4;GT
L-A-02-16;L2-16;3;4;GT
L-A-02-17;L2-17;4;4;GT
L-A-02-18;L2-18;3;4;GT
L-A-02-19;L2-19;3;4;GT
L-A-02-20;L2-20;3;4;GT
L-A-02-21;L2-21;3;4;GT
L-A-02-22;L2-22;4;4;GT
L-A-02-23;L2-23;4;3;GT
L-A-02-24;L2-24;4;3;GT
L-A-02-25;L2-25;4;4;GT
L-A-02-26;L2-26;4;3;GT
L-A-02-27;L2-27;4;3;GT
L-A-02-28;L2-28;4;3;GT
L-A-02-29;L2-29;4;3;GT
L-A-02-30;L2-30;4;4;GT
L-A-02-31;L2-31;3;4;GT
L-A-03-01;L3-1;4;4;GT
L-A-03-02;L3-2;4;4;GT
L-A-03-03;L3-3;4;4;GT
L-B-01-01;L4-1;4;4;GT
L-B-01-02;L4-2;4;4;GT
L-B-01-03;L4-3;4;4;GT
L-B-02-01;L5-1;4;4;GT
L-B-02-02;L5-2;4;4;GT
L-B-02-03;L5-3;4;4;GT
L-C-01-01;L6-1;4;4;GT
L-C-01-02;L6-2;4;4;GT
L-C-01-03;L6-3;4;4;GT
L-C-01-04;L6-4;4;4;GT
L-C-01-05;L6-5;4;4;GT
L-C-02-01;L7-1;4;4;GT
L-C-02-02;L7-2;4;4;GT
L-C-02-03;L7-3;4;4;GT
L-C-02-04;L7-4;4;4;GT
L-C-03-01;L8-1;4;4;GT
L-C-03-02;L8-1;4;4;GT
L-C-04-01;L9-1;4;4;GT
L-C-04-02;L9-2;4;4;GT
L-C-04-03;L9-3;4;4;GT
L-C-04-04;L9-4;4;4;GT
L-C-04-05;L9-5;4;4;GT
L-C-04-06;L9-6;4;4;GT
L-G-01-01;L11-1;4;4;GT
L-G-01-02;L11-2;4;4;GT
L-J-01-01;L12-1;4;4;GT
L-M-01-01;L14-1;4;4;GT
L-M-01-02;L14-2;4;4;GT
L-M-01-03;L14-3;4;4;GT
L-M-01-04;L14-4;4;4;GT
L-M-01-05;L14-5;4;4;GT
L-M-02-01;L15-1;4;4;GT
L-M-02-02;L15-2;4;4;GT
L-M-02-03;L15-3;4;4;GT
L-M-02-04;L15-4;4;4;GT
L-M-04-01;L16-1;4;4;GT
L-M-04-03;L16-3;4;4;GT
L-M-04-05;L16-5;4;4;GT
L-M-05-01;L17-1;4;4;GT
L-M-05-02;L17-2;4;4;GT
L-M-05-03;L17-3;4;4;GT
L-M-05-04;L17-4;4;4;GT
L-M-05-05;L17-5;4;4;GT
L-M-05-06;L17-6;4;4;GT
L-M-05-07;L17-7;4;4;GT
O-A-01-01;O1-1;4;4;GT
O-A-01-02;O1-2;4;4;GT
O-A-01-03;O1-3;4;4;GT
O-A-01-04;O1-4;4;4;GT
O-A-01-05;O1-5;4;4;GT
O-A-01-06;O1-6;4;4;GT
O-A-01-07;O1-7;4;4;GT
O-A-01-08;O1-8;4;4;GT
O-A-01-09;O1-9;4;4;GT
O-A-01-10;O1-10;4;4;GT
O-A-01-11;O1-11;4;4;GT
O-A-01-12;O1-12;4;4;GT
O-A-01-13;O1-13;3;4;GT
O-A-01-14;O1-14;3;4;GT
O-A-01-15;O1-15;3;4;GT
O-A-01-16;O1-16;3;4;GT
O-A-01-17;O1-13;1;4;GT
O-A-01-18;O1-14;1;4;GT
O-A-01-19;O1-15;1;4;GT
O-A-01-20;O1-16;1;4;GT
O-A-01-21;O1-17;4;4;GT
O-A-01-22;O1-18;4;4;GT
O-A-01-23;O1-19;4;4;GT
O-A-01-24;O1-20;4;4;GT
O-A-01-25;O1-21;4;4;GT
O-A-01-26;O1-22;4;4;GT
O-A-01-27;O1-23;4;4;GT
O-A-01-28;O1-24;4;4;GT
O-A-01-29;O1-25;4;4;GT
O-A-01-30;O1-26;4;4;GT
O-A-01-31;O1-27;4;4;GT
O-A-01-32;O1-28;4;4;GT
O-A-02-01;O2-1;4;4;GT
O-A-02-02;O2-2;4;2;GT
O-A-02-03;O2-3,4;4;2;GT
O-A-02-04;O2-5;2;4;GT
O-A-02-05;O2-6;1;4;GT
O-A-02-06;O2-7;4;4;GT
O-A-02-07;O2-8;4;2;GT
O-A-02-08;O2-9,10;4;2;GT
O-A-02-09;O2-11;2;4;GT
O-A-02-10;O2-12;1;4;GT
O-A-02-11;O2-13;4;4;GT
O-A-02-12;O2-14;4;2;GT
O-A-02-13;O2-15,16;4;2;GT
O-A-02-14;O2-17;4;1;GT
O-A-02-15;O2-17;2;4;GT
O-A-02-16;O2-18;1;4;GT
O-A-02-17;O2-19;4;4;GT
O-A-02-18;O2-20;4;4;GT
O-A-02-20;O2-21;4;4;GT
O-B-01-01;L5-4;4;4;GT
O-B-01-02;L5-5;4;4;GT
O-C-01-01;O3-1;4;4;GT
O-C-01-02;O3-2;4;4;GT
O-C-01-03;O3-3;4;4;GT
O-C-01-04;O3-4;4;4;GT
O-C-01-05;O3-5;4;4;GT
O-C-01-06;O3-6;4;4;GT
O-C-01-07;O3-7;4;4;GT
O-C-01-08;O3-8;4;4;GT
O-C-01-09;O3-9;4;4;GT
O-C-01-10;O3-10;4;4;GT
O-C-01-11;O3-11;4;4;GT
O-C-01-12;O3-12;4;4;GT
O-C-01-13;O3-13;4;4;GT
O-C-01-14;O3-14;4;4;GT
O-C-02-01;O4-1;4;4;GT
O-C-02-02;O4-2;4;4;GT
O-C-02-03;O4-3;4;4;GT
O-C-02-04;O4-4;4;4;GT
O-C-02-05;O4-5;4;4;GT
O-C-02-06;O4-6;4;4;GT
O-C-02-07;O4-7;4;4;GT
O-C-02-08;O4-8;4;4;GT
O-C-02-09;O4-9;4;4;GT
O-G-01-01;O5-1;4;4;GT
O-M-01-01;O6-1;4;4;GT
O-M-01-02;O6-2;4;4;GT
O-M-01-03;O6-3;4;4;GT
O-M-01-04;O6-4;4;4;GT
O-M-01-05;O6-5;4;4;GT
O-M-02-01;O7-1;4;4;GT
O-M-02-02;O7-2;4;4;GT
O-M-02-03;O7-3;4;4;GT
O-M-02-04;O7-4;4;4;GT
T-A-01-01;T1-1;4;4;GT
T-A-01-02;T1-2;4;4;GT
T-A-01-03;T1-3;4;4;GT
T-A-01-04;T1-4;4;4;GT
T-A-01-05;T1-5;4;4;GT
T-A-01-06;T1-6;4;4;GT
T-A-01-07;T1-7;4;4;GT
T-A-01-08;T1-8;4;4;GT
T-A-01-09;T1-9;4;4;GT
T-A-01-10;T1-10;4;4;GT
T-A-01-11;T1-11;4;4;GT
T-A-01-12;T1-12;4;4;GT
T-A-01-13;T1-13;4;4;GT
T-A-01-14;T1-14;4;4;GT
T-A-01-15;T1-15;4;4;GT
T-A-01-16;T1-16;4;4;GT
T-A-01-17;T1-17;4;4;GT
T-A-01-18;T1-18;4;4;GT
T-A-01-19;T1-19;4;4;GT
T-A-01-20;T1-20;4;4;GT
T-A-01-21;T1-41;4;4;GT
T-A-01-22;T1-42;4;4;GT
T-A-01-23;T1-43;4;4;GT
T-A-01-24;T1-44;4;4;GT
T-A-01-25;T1-45;4;4;GT
T-A-01-26;T1-46;4;4;GT
T-A-01-27;T1-47;4;4;GT
T-A-01-28;T1-48;4;4;GT
T-A-01-29;T1-49;4;4;GT
T-A-01-30;T1-50;4;4;GT
T-A-01-31;T1-51;4;4;GT
T-A-01-32;T1-52;4;4;GT
T-A-01-33;T1-53;4;4;GT
T-A-01-34;T1-54;4;4;GT
T-A-01-35;T1-55;4;4;GT
T-A-01-36;T1-56;4;4;GT
T-A-01-37;T1-57;4;4;GT
T-A-01-38;T1-58;4;4;GT
T-A-01-39;T1-59;4;4;GT
T-A-01-40;T1-60;4;4;GT
T-A-01-41;T1-21;4;4;GT
T-A-01-42;T1-22;4;4;GT
T-A-01-43;T1-23;4;4;GT
T-A-01-44;T1-24;4;4;GT
T-A-01-45;T1-25;4;4;GT
T-A-01-46;T1-26;4;4;GT
T-A-01-47;T1-27;4;4;GT
T-A-01-48;T1-28;4;4;GT
T-A-01-49;T1-29;4;4;GT
T-A-01-50;T1-30;4;4;GT
T-A-01-51;T1-31;4;4;GT
T-A-01-52;T1-32;4;4;GT
T-A-01-53;T1-33;4;4;GT
T-A-01-54;T1-34;4;4;GT
T-A-01-55;T1-35;4;4;GT
T-A-01-56;T1-36;4;4;GT
T-A-01-57;T1-37;4;4;GT
T-A-01-58;T1-38;4;4;GT
T-A-01-59;T1-39;4;4;GT
T-A-01-60;T1-40;4;4;GT
T-A-01-61;T1-61;4;4;GT
T-A-01-62;T1-62;4;4;GT
T-A-01-63;T1-63;4;4;GT
T-A-01-64;T1-64;4;4;GT
T-A-01-65;T1-65;4;4;GT
T-A-01-66;T1-66;4;4;GT
T-A-01-67;T1-67;4;4;GT
T-A-01-68;T1-68;4;4;GT
T-A-01-69;T1-69;4;4;GT
T-A-01-70;T1-70;4;4;GT
T-A-01-71;T1-71;4;4;GT
T-A-01-72;T1-72;4;4;GT
T-A-01-73;T1-73;4;4;GT
T-A-01-74;T1-74;4;4;GT
T-A-01-75;T1-75;4;4;GT
T-A-01-76;T1-76;4;4;GT
T-A-01-77;T1-81;4;4;GT
T-A-01-78;T1-82;4;4;GT
T-A-01-79;T1-83;4;4;GT
T-A-01-80;T1-84;4;4;GT
T-A-01-81;T1-85;4;4;GT
T-A-02-01;T2-1;2;4;GT
T-A-02-02;T2-3;3;2;GT
T-A-02-03;T2-7;3;2;GT
T-A-02-04;T2-2;2;4;GT
T-A-02-05;T2-4;3;2;GT
T-A-02-06;T2-8;3;2;GT
T-A-02-07;T2-1;1;4;GT
T-A-02-08;T2-3;3;1;GT
T-A-02-09;T2-7;3;1;GT
T-A-03-01;T3-1;4;4;GT
T-A-03-02;T3-4;4;2;GT
T-A-03-03;T3-10;4;2;GT
T-A-03-04;T3-2;4;3;GT
T-A-03-05;T3-5;3;2;GT
T-A-03-06;T3-11;3;2;GT
T-A-03-07;T10-1;1;4;GT
T-A-03-08;T3-3;4;4;GT
T-A-03-09;T3-6;4;2;GT
T-A-03-10;T3-12;4;2;GT
T-A-03-11;T10-1;2;4;GT
T-A-03-12;T3-13;4;2;GT
T-A-03-13;T3-14;2;4;GT
T-A-03-14;T3-2;1;4;GT
T-A-03-15;T3-5;1;3;GT
T-A-03-16;T3-11;1;3;GT
T-A-04-01;T22-1,2;2;3;GT
T-A-04-02;T22-1,2;2;3;GT
T-A-04-03;T22-3,4;2;3;GT
T-B-01-01;T4-1;3;4;GT
T-B-01-02;T4-2;4;2;GT
T-B-01-03;T4-4;4;2;GT
T-B-01-04;T4-5;2;4;GT
T-B-01-05;T4-6;3;2;GT
T-B-01-06;T4-8;3;2;GT
T-B-01-07;T4-9;2;4;GT
T-B-01-08;T4-10;3;2;GT
T-B-01-09;T4-12;3;2;GT
T-B-01-10;T4-13;4;4;GT
T-B-01-11;T4-14;4;2;GT
T-B-01-12;T4-16;4;2;GT
T-B-01-13;T4-1;0;4;GT
T-B-01-14;T4-17;4;2;GT
T-B-01-15;T4-18;2;4;GT
T-B-01-16;T4-5,9;1;4;GT
T-B-01-17;T4-6,10;1;2;GT
T-B-01-18;T4-8,12,19,20;1;2;GT
T-C-01-01;T6-1;4;4;GT
T-C-01-02;T6-2,3;4;4;GT
T-C-01-03;T6-4;4;4;GT
T-C-01-04;T6-5;4;4;GT
T-C-01-05;T6-6;4;4;GT
T-C-01-06;T6-7;4;4;GT
T-C-02-01;T5-1;4;4;GT
T-C-02-02;T5-2;3;4;GT
T-C-02-03;T5-3;4;3;GT
T-C-02-04;T5-4;3;4;GT
T-C-02-05;T5-5;4;3;GT
T-C-02-06;T5-6,7;4;4;GT
T-C-02-07;T5-8;4;4;GT
T-C-02-08;T5-9;3;4;GT
T-C-02-09;T5-10;4;3;GT
T-C-03-03;T21-1;2;4;GT
T-C-03-04;T11-2, T21-1;1;4;GT
T-C-03-05;T29-8;4;4;GT
T-C-03-06;T29-3,4;3;4;GT
T-C-03-07;T29-7;4;4;GT
T-C-03-08;T29-1,2;4;4;GT
T-C-03-09;T29-5,6,9;4;4;GT
T-C-03-10;T29-5,6,9;0;4;GT
T-C-04-01;T11-3;3;3;GT
T-C-05-01;T12-1;4;4;GT
T-C-05-02;T12-2;4;4;GT
T-C-05-03;T12-3;4;4;GT
T-C-05-04;T12-4;4;4;GT
T-C-06-01;T8-1;4;4;GT
T-C-06-02;T8-2;4;4;GT
T-C-06-03;T8-3;4;4;GT
T-C-06-04;T8-4;4;4;GT
T-C-07-01;T8-5;4;4;GT
T-C-08-01;T7-1,2;4;4;GT
T-C-08-02;T7-3;4;2;GT
T-C-08-03;T7-8;4;2;GT
T-C-08-04;T7-4;2;4;GT
T-C-08-05;T7-4;3;2;GT
T-C-08-06;T7-9;4;2;GT
T-C-08-07;T7-5;4;3;GT
T-C-08-08;T7-10;2;4;GT
T-C-08-09;T7-11;4;4;GT
T-C-08-10;T7-12;4;2;GT
T-C-08-11;T7-14;4;2;GT
T-D-01-01;T13-3,18;3;1;GT
T-D-01-02;T13-6,18;3;1;GT
T-D-01-03;T13-9,18;3;1;GT
T-D-01-04;T13-3,17;3;2;GT
T-D-01-05;T13-6,17;2;2;GT
T-D-01-06;T13-9,17;2;2;GT
T-D-01-07;T13-10,11,16,17;4;3;GT
T-D-01-08;T13-12,13,15,17;3;2;GT
T-D-01-09;T13-14,15;2;3;GT
T-D-01-10;T13-1,2,16,17;4;3;GT
T-D-01-11;T13-4,5,16,17;3;2;GT
T-D-01-12;T13-7,8;2;3;GT
T-D-03-01;T16-1;4;4;GT
T-D-03-02;T16-2;4;2;GT
T-D-03-03;T16-3,4;2;4;GT
T-D-03-04;T16-5;4;2;GT
T-D-03-05;T16-6;2;4;GT
T-D-03-06;T16-7;4;4;GT
T-D-04-01;T15-1;2;2;GT
T-D-04-02;T15-2;2;2;GT
T-D-04-03;T15-1;2;1;GT
T-D-04-04;T15-2;2;1;GT
T-D-04-05;T15-1,2;4;0;GT
T-D-06-01;T14-1;2;4;GT
T-D-06-02;T14-1;2;1;GT
T-D-06-03;T14-2;4;2;GT
T-D-06-04;T10-2;4;4;GT
T-D-06-05;T14-3;4;4;GT
T-E-01-01;T21-2;3;4;GT
T-E-01-02;T21-3;3;4;GT
T-E-01-03;T21-4;3;4;GT
T-E-01-04;T21-5;3;4;GT
T-E-01-05;T21-6;4;4;GT
T-E-01-06;T21-2,3;0;4;GT
T-E-01-07;T21-4,5;0;4;GT
T-E-01-08;T21-7;4;4;GT
T-E-01-09;T21-8;4;4;GT
T-E-02-01;T17-2;4;4;GT
T-E-02-02;T17-3;4;4;GT
T-E-02-03;T17-4;4;4;GT
T-E-03-01;T18-3,4;1;4;GT
T-E-03-02;T18-3,4;2;4;GT
T-E-03-03;T18-2,4;2;4;GT
T-E-03-04;T18-1,4;3;2;GT
T-E-03-05;T18-4,5;3;2;GT
T-E-03-06;T18-1,4;4;2;GT
T-E-04-01;T18-6;1;4;GT
T-E-04-02;T18-6;2;4;GT
T-E-05-01;T19-1;2;3;GT
T-E-05-02;T19-2;2;2;GT
T-E-05-03;T19-1;2;4;GT
T-E-05-04;T19-1;1;3;GT
T-E-05-05;T19-2;2;2;GT
T-E-05-06;T19-3;2;4;GT
T-E-05-07;T19-3;1;4;GT
T-E-05-08;T19-3;1;4;GT
T-E-05-09;T19-1,2;1;4;GT
T-E-05-10;T19-1,2;1;4;GT
T-E-06-01;T24-1;4;4;GT
T-E-06-02;T24-2;4;4;GT
T-E-06-03;T24-3;2;4;GT
T-E-06-04;T24-3;1;4;GT
T-E-07-01;T23-1;4;4;GT
T-E-08-01;T18-1,2,3;1;3;GT
T-E-08-02;T18-2,3,4,5;1;4;GT
T-E-08-03;T18-1,2,3;0;3;GT
T-E-08-04;T18-2,3,4,5;0;4;GT
T-E-09-01;T20-1;3;4;GT
T-E-09-02;T20-1,2;1;4;GT
T-E-09-03;T20-2;2;2;GT
T-F-01-01;T4-10;0;4;GT
T-F-01-02;T4-10,11;0;4;GT
T-F-02-01;T30-3;4;1900-01-04 00:00:00;GT
T-F-02-02;T30-4,7;4;4;GT
T-F-02-03;T30-5,6;4;4;GT
T-F-02-04;T30-1;4;4;GT
T-F-02-05;T30-2;4;4;GT
T-G-01-01;T28-1,2,3;2;2;GT
T-G-01-09;T27-8, T28-1,2,3;2;2;GT
T-G-01-10;T27-6;4;3;GT
T-G-01-11;T27-7;2;4;GT
T-G-01-12;T27-2;4;3;GT
T-G-01-13;T27-4;2;4;GT
T-G-01-14;T27-8;1;3;GT
T-G-01-15;T27-6,7;0;4;GT
T-G-01-16;T27-1,3;1;4;GT
T-G-01-17;T27-2,4,5;1;4;GT
T-G-01-18;T27-1,3;0;4;GT
T-G-01-19;T29-3;4;4;GT
T-G-01-20;T29-10;3;3;GT
T-G-01-21;T29-4;2;4;GT
T-G-01-22;T29-4;1;4;GT
T-G-01-23;T29-1;4;4;GT
T-G-01-24;T29-2;0;4;GT
T-G-01-25;T29-2;2;4;GT
T-G-01-26;T29-2;0;4;GT
T-G-01-27;T26-7;4;4;GT
T-G-01-31;T26-5,6;2;4;GT
T-G-01-33;T26-1;2;4;GT
T-G-01-34;T26-3;2;4;GT
T-G-01-36;T26-5,6;1;4;GT
T-G-01-38;T26-1;1;4;GT
T-G-01-39;T26-3;1;4;GT
T-G-01-41;T25-4;2;4;GT
T-G-01-42;T25-4;1;4;GT
T-G-01-43;T25-3;2;4;GT
T-G-01-44;T25-3;1;4;GT
T-G-01-45;T25-2;2;4;GT
T-G-01-46;T25-2;1;4;GT
T-G-01-47;T25-1;2;4;GT
T-G-01-48;T25-1;1;4;GT
T-G-01-49;T25-1;1;4;GT
T-H-01-01;T31-1;4;4;GT
T-H-01-02;T31-4;4;2;GT
T-H-01-03;T31-10;4;2;GT
T-H-01-04;T31-2;4;3;GT
T-H-01-05;T31-5;3;2;GT
T-H-01-06;T31-11;3;2;GT
T-H-01-07;T31-3;4;4;GT
T-H-01-08;T31-6;4;2;GT
T-H-01-09;T31-12;4;2;GT
T-H-01-10;T31-13;4;2;GT
T-H-01-11;T31-14;2;4;GT
T-H-01-12;T31-2;1;4;GT
T-H-01-13;T31-5;1;3;GT
T-H-01-14;T31-11;1;3;GT
T-I-01-01;T4-1,2,5,6,T38-1;1;4;GT
T-I-01-02;T4-3,4,7,8, T38-1;1;4;GT
T-I-01-03;T4-9,10,13,14;0;4;GT
T-I-01-04;T4-11,12,15,16;0;4;GT
T-I-01-05;T4-1,2,5,6,T38-1;1;4;GT
T-I-01-06;T4-3,4,7,8, T38-1;1;4;GT
T-I-01-07;T4-9,10,13,14;0;4;GT
T-I-01-08;T4-11,12,15,16;0;4;GT
T-I-01-09;T4-17;0;4;GT
T-I-01-10;T4-18;0;4;GT
T-K-01-01;T32-1;2;2;GT
T-K-01-02;T32-3,6;2;3;GT
T-K-01-03;T32,6,9;2;3;GT
T-K-01-04;T32-13;2;2;GT
T-K-01-05;T32-15,17;2;3;GT
T-K-01-06;T32-17,19;2;3;GT
T-K-01-07;T32-1;1;2;GT
T-K-01-08;T32-3,6;1;3;GT
T-K-01-09;T32,6,9;1;3;GT
T-K-01-10;T32-13;1;2;GT
T-K-01-11;T32-15,17;1;3;GT
T-K-01-12;T32-17,19;1;3;GT
T-K-01-13;T32-1,2;1;3;GT
T-K-01-14;T32-3,4,6,7;1;3;GT
T-K-01-15;T32,6,7,9,10;1;3;GT
T-K-01-16;T32-13,14;1;3;GT
T-K-01-17;T32-15,16,17,18;1;3;GT
T-K-01-18;T32-17,18,19,20;1;3;GT
T-K-01-19;T32-2;3;3;GT
T-K-01-20;T32-4,5,7,8;1;3;GT
T-K-01-21;T32-7,8,10;1;3;GT
T-K-01-22;T32-14;3;3;GT
