NiN 2 kode;FP;SP;TKode;HTGKode;HTKode;GTKode
3TO-bs;4;4;A-LV-TM;TM-E;E-0-03;E-0-03-0
3TO-PL;4;2;A-LV-TM;TM-F;F-0-01;F-0-01-0
3TO-PL;4;2;A-LV-TM;TM-G;G-0-01;G-0-01-0
3TO-HA;4;4;A-LV-TM;TM-H;H-0-01;H-0-01-0
3TO-HN;4;4;A-LV-TM;TM-H;H-0-02;H-0-02-0
3TO-HP;4;4;A-LV-TM;TM-H;H-0-03;H-0-03-0
3TO-Hk;4;4;A-LV-TM;TM-H;H-0-04;H-0-04-0
3TO-HE;4;4;A-LV-TM;TM-H;H-0-06;H-0-06-0
3bF;4;4;A-LV-BM;BM-A;A-0-0;A-0-0-0
3bF-Pb;4;4;A-LV-BM;BM-A;A-0-01;A-0-01-0
3bF-sb;4;4;A-LV-BM;BM-A;A-0-02;A-0-02-0
3bF-Db;1;4;A-LV-BM;BM-A;A-0-03;A-0-03-0
3bF-Db;2;4;A-LV-BM;BM-A;A-0-04;A-0-04-0
3bF-bb;4;4;A-LV-BM;BM-A;A-0-05;A-0-05-0
3bF-Ds;4;4;A-LV-BM;BM-A;A-0-06;A-0-06-0
3bF-Rb;4;4;A-LV-BM;BM-A;A-0-07;A-0-07-0
3FP-sb;1;4;A-LV-BM;BM-A;A-0-09;A-0-09-0
I;;;C-PE-LA;LA-I;I-0--;I-0---0
IA;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-0
IA-1;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-001
IA-2;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-002
IA-3;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-003
IA-4;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-004
IA-5;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-005
IA-6;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-006
IA-7;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-007
IA-8;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-008
IA-9;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-009
IA-10;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-010
IA-11;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-011
IA-12;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-012
IA-13;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-013
IA-14;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-014
IA-15;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-015
IA-16;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-016
IA-17;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-017
IA-18;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-018
IA-19;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-019
IA-20;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-020
IA-21;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-021
IA-22;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-022
IA-23;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-023
IA-24;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-024
IA-25;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-025
IA-26;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-026
IA-27;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-027
IA-28;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-028
IA-29;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-029
IA-30;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-030
IA-31;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-031
IA-32;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-032
IA-33;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-033
IA-34;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-034
IA-35;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-035
IA-36;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-036
IA-37;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-037
IA-38;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-038
IA-39;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-039
IA-40;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-040
IA-41;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-041
IA-42;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-042
IA-43;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-043
IA-44;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-044
IA-45;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-045
IA-46;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-046
IA-47;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-047
IA-48;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-048
IA-49;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-049
IA-50;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-050
IA-51;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-051
IA-52;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-052
IA-53;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-053
IA-54;4;4;C-PE-LA;LA-I;I-0-01;I-0-01-054
ID;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-0
ID-1;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-001
ID-2;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-002
ID-3;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-003
ID-4;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-004
ID-5;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-005
ID-6;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-006
ID-7;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-007
ID-8;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-008
ID-9;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-009
ID-10;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-010
ID-11;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-011
ID-12;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-012
ID-13;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-013
ID-14;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-014
ID-15;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-015
ID-16;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-016
ID-17;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-017
ID-18;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-018
ID-19;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-019
ID-20;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-020
ID-21;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-021
ID-22;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-022
ID-23;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-023
ID-24;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-024
ID-25;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-025
ID-26;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-026
ID-27;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-027
ID-28;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-028
ID-29;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-029
ID-30;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-030
ID-31;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-031
ID-32;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-032
ID-33;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-033
ID-34;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-034
ID-35;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-035
ID-36;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-036
ID-37;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-037
ID-38;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-038
ID-39;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-039
ID-40;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-040
ID-41;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-041
ID-42;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-042
ID-43;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-043
ID-44;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-044
ID-45;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-045
ID-46;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-046
ID-47;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-047
ID-48;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-048
ID-49;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-049
ID-50;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-050
ID-51;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-051
ID-52;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-052
ID-53;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-053
ID-54;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-054
ID-55;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-055
ID-56;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-056
ID-57;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-057
ID-58;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-058
ID-59;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-059
ID-60;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-060
ID-61;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-061
ID-62;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-062
ID-63;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-063
ID-64;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-064
ID-65;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-065
ID-66;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-066
ID-67;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-067
ID-68;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-068
ID-69;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-069
ID-70;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-070
ID-71;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-071
ID-72;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-072
ID-73;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-073
ID-74;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-074
ID-75;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-075
ID-76;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-076
ID-77;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-077
ID-78;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-078
ID-79;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-079
ID-80;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-080
ID-81;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-081
ID-82;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-082
ID-83;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-083
ID-84;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-084
ID-85;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-085
ID-86;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-086
ID-87;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-087
ID-88;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-088
ID-89;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-089
ID-90;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-090
ID-91;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-091
ID-92;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-092
ID-93;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-093
ID-94;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-094
ID-95;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-095
ID-96;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-096
ID-97;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-097
ID-98;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-098
ID-99;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-099
ID-100;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-100
ID-101;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-101
ID-102;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-102
ID-103;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-103
ID-104;4;4;C-PE-LA;LA-I;I-0-02;I-0-02-104
Is;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-0
Is-1;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-001
Is-2;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-002
Is-3;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-003
Is-4;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-004
Is-5;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-005
Is-6;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-006
Is-7;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-007
Is-8;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-008
Is-9;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-009
Is-10;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-010
Is-11;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-011
Is-12;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-012
Is-13;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-013
Is-14;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-014
Is-15;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-015
Is-16;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-016
Is-17;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-017
Is-18;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-018
Is-19;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-019
Is-20;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-020
Is-21;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-021
Is-22;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-022
Is-23;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-023
Is-24;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-024
Is-25;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-025
Is-26;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-026
Is-27;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-027
Is-28;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-028
Is-29;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-029
Is-30;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-030
Is-31;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-031
Is-32;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-032
Is-33;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-033
Is-34;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-034
Is-35;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-035
Is-36;4;4;C-PE-LA;LA-I;I-0-03;I-0-03-036
k;;;C-PE-LA;LA-K;K-0--;K-0---0
kA;4;4;C-PE-LA;LA-K;K-0-01;K-0-01-0
kA-1;4;4;C-PE-LA;LA-K;K-0-01;K-0-01-001
kF;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-0
kF-1;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-001
kF-2;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-002
kF-3;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-003
kF-4;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-004
kF-5;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-005
kF-6;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-006
kF-7;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-007
kF-8;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-008
kF-9;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-009
kF-10;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-010
kF-11;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-011
kF-12;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-012
kF-13;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-013
kF-14;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-014
kF-15;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-015
kF-16;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-016
kF-17;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-017
kF-18;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-018
kF-19;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-019
kF-20;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-020
kF-21;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-021
kF-22;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-022
kF-23;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-023
kF-24;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-024
kF-25;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-025
kF-26;4;4;C-PE-LA;LA-K;K-0-02;K-0-02-026
ks;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-0
ks-1;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-001
ks-2;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-002
ks-3;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-003
ks-4;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-004
ks-5;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-005
ks-6;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-006
ks-7;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-007
ks-8;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-008
ks-9;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-009
ks-10;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-010
ks-11;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-011
ks-12;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-012
ks-13;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-013
ks-14;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-014
ks-15;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-015
ks-16;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-016
ks-17;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-017
ks-18;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-018
ks-19;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-019
ks-20;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-020
ks-21;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-021
ks-22;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-022
ks-23;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-023
ks-24;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-024
ks-25;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-025
ks-26;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-026
ks-27;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-027
ks-28;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-028
ks-29;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-029
ks-30;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-030
ks-31;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-031
ks-32;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-032
ks-33;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-033
ks-34;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-034
ks-35;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-035
ks-36;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-036
ks-37;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-037
ks-38;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-038
ks-39;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-039
ks-40;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-040
ks-41;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-041
ks-42;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-042
ks-43;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-043
ks-44;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-044
ks-45;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-045
ks-46;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-046
ks-47;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-047
ks-48;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-048
ks-49;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-049
ks-50;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-050
ks-51;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-051
ks-52;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-052
ks-53;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-053
ks-54;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-054
ks-55;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-055
ks-56;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-056
ks-57;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-057
ks-58;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-058
ks-59;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-059
ks-60;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-060
ks-61;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-061
ks-62;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-062
ks-63;4;4;C-PE-LA;LA-K;K-0-03;K-0-03-063
M;;;C-PE-LA;LA-M;M-0--;M-0---0
MA;4;4;C-PE-LA;LA-M;M-0-01;M-0-01-0
MD;4;4;C-PE-LA;LA-M;M-0-02;M-0-02-0
Ms;4;4;C-PE-LA;LA-M;M-0-03;M-0-03-0
M;;;C-PE-NA;NA-M;M-0-0;M-0-0-0
M3;3;4;C-PE-NA;NA-M;M-A-01;M-A-01-0
M3-1;4;4;C-PE-NA;NA-M;M-A-01;M-A-01-01
M3-2;4;4;C-PE-NA;NA-M;M-A-01;M-A-01-02
M3-3;4;4;C-PE-NA;NA-M;M-A-01;M-A-01-03
M3-4;4;4;C-PE-NA;NA-M;M-A-01;M-A-01-04
M3-5;4;4;C-PE-NA;NA-M;M-A-01;M-A-01-05
M3-6;4;4;C-PE-NA;NA-M;M-A-01;M-A-01-06
M3-7;4;4;C-PE-NA;NA-M;M-A-01;M-A-01-07
M3-8;4;4;C-PE-NA;NA-M;M-A-01;M-A-01-08
M3-9;4;4;C-PE-NA;NA-M;M-A-01;M-A-01-09
M3-10;4;4;C-PE-NA;NA-M;M-A-01;M-A-01-10
M3-14;4;4;C-PE-NA;NA-M;M-A-01;M-A-01-11
M3-15;4;4;C-PE-NA;NA-M;M-A-01;M-A-01-12
M3-16;4;4;C-PE-NA;NA-M;M-A-01;M-A-01-13
M3-17;4;4;C-PE-NA;NA-M;M-A-01;M-A-01-14
M3-19;3;4;C-PE-NA;NA-M;M-A-01;M-A-01-15
M1;;;C-PE-NA;NA-M;M-A-02;M-A-02-0
M1-1;4;4;C-PE-NA;NA-M;M-A-02;M-A-02-01
M1-4;4;4;C-PE-NA;NA-M;M-A-02;M-A-02-02
M1-6;4;4;C-PE-NA;NA-M;M-A-02;M-A-02-03
M1-7;4;3;C-PE-NA;NA-M;M-A-02;M-A-02-04
M1-3;4;4;C-PE-NA;NA-M;M-A-02;M-A-02-05
M1-5;4;2;C-PE-NA;NA-M;M-A-02;M-A-02-06
M1-7;4;3;C-PE-NA;NA-M;M-A-02;M-A-02-07
M1-7;4;1;C-PE-NA;NA-M;M-A-02;M-A-02-08
M1-4;1;4;C-PE-NA;NA-M;M-A-02;M-A-02-09
M1-4;2;4;C-PE-NA;NA-M;M-A-02;M-A-02-10
M1-4,6;4;2;C-PE-NA;NA-M;M-A-02;M-A-02-11
M1-16;4;4;C-PE-NA;NA-M;M-A-02;M-A-02-12
M1-17;4;4;C-PE-NA;NA-M;M-A-02;M-A-02-14
M1-18;4;4;C-PE-NA;NA-M;M-A-02;M-A-02-15
M1-19;4;4;C-PE-NA;NA-M;M-A-02;M-A-02-16
M1-25;4;4;C-PE-NA;NA-M;M-A-02;M-A-02-17
M1-26;4;4;C-PE-NA;NA-M;M-A-02;M-A-02-18
M1-27;4;4;C-PE-NA;NA-M;M-A-02;M-A-02-19
M1-29;4;4;C-PE-NA;NA-M;M-A-02;M-A-02-20
M2;;;C-PE-NA;NA-M;M-A-03;M-A-03-0
M2-1,13;4;4;C-PE-NA;NA-M;M-A-03;M-A-03-01
M2-6,14;3;4;C-PE-NA;NA-M;M-A-03;M-A-03-02
M2-6,14;1;4;C-PE-NA;NA-M;M-A-03;M-A-03-03
M2-2,15;4;4;C-PE-NA;NA-M;M-A-03;M-A-03-04
M2-7,16;4;4;C-PE-NA;NA-M;M-A-03;M-A-03-05
M2-3,17;4;4;C-PE-NA;NA-M;M-A-03;M-A-03-06
M2-8,18;4;4;C-PE-NA;NA-M;M-A-03;M-A-03-07
M2-4,5,19,20;2;3;C-PE-NA;NA-M;M-A-03;M-A-03-08
M2-9,10,19,20;2;3;C-PE-NA;NA-M;M-A-03;M-A-03-09
M4;2;4;C-PE-NA;NA-M;M-A-04;M-A-04-0
M4-29,38;4;4;C-PE-NA;NA-M;M-A-04;M-A-04-01
M4-33,34;2;2;C-PE-NA;NA-M;M-A-04;M-A-04-02
M4-34;1;2;C-PE-NA;NA-M;M-A-04;M-A-04-03
M4-31,40;2;4;C-PE-NA;NA-M;M-A-04;M-A-04-04
M4-30, 32, 39, 41;2;4;C-PE-NA;NA-M;M-A-04;M-A-04-05
M4-29,38;1;4;C-PE-NA;NA-M;M-A-04;M-A-04-06
M4-29,38;0;4;C-PE-NA;NA-M;M-A-04;M-A-04-07
M4-33,34;1;2;C-PE-NA;NA-M;M-A-04;M-A-04-08
M4-34;1;2;C-PE-NA;NA-M;M-A-04;M-A-04-09
M4-31,40;1;4;C-PE-NA;NA-M;M-A-04;M-A-04-10
M4-37;4;4;C-PE-NA;NA-M;M-A-04;M-A-04-11
M4-35,42;4;4;C-PE-NA;NA-M;M-A-04;M-A-04-12
M4;3;4;C-PE-NA;NA-M;M-A-05;M-A-05-0
M4-1;4;3;C-PE-NA;NA-M;M-A-05;M-A-05-01
M4-3,6;2;4;C-PE-NA;NA-M;M-A-05;M-A-05-02
M4-6;1;4;C-PE-NA;NA-M;M-A-05;M-A-05-03
M4-4,5;3;4;C-PE-NA;NA-M;M-A-05;M-A-05-04
M4-5,7;3;4;C-PE-NA;NA-M;M-A-05;M-A-05-05
M4-2;3;4;C-PE-NA;NA-M;M-A-05;M-A-05-06
M4-12;4;3;C-PE-NA;NA-M;M-A-05;M-A-05-07
M4-14;3;4;C-PE-NA;NA-M;M-A-05;M-A-05-08
M4-15;2;4;C-PE-NA;NA-M;M-A-05;M-A-05-09
M4-15;1;4;C-PE-NA;NA-M;M-A-05;M-A-05-10
M4-13,16;3;4;C-PE-NA;NA-M;M-A-05;M-A-05-11
M4-10,19;4;4;C-PE-NA;NA-M;M-A-05;M-A-05-12
